iter	Passed	Remaining
0	1	366
1	19	2839
2	20	2037
3	41	3091
4	55	3263
5	56	2762
6	57	2398
7	58	2134
8	59	1918
9	60	1766
10	62	1632
11	63	1514
12	64	1415
13	65	1329
14	65	1251
15	83	1478
16	84	1406
17	85	1342
18	86	1281
19	87	1227
20	88	1176
21	89	1133
22	90	1092
23	91	1056
24	92	1020
25	93	988
26	94	959
27	95	931
28	96	903
29	97	880
30	98	855
31	99	833
32	100	813
33	101	793
34	120	909
35	121	889
36	125	894
37	126	873
38	127	855
39	128	836
40	129	819
41	130	801
42	131	784
43	132	770
44	133	756
45	134	741
46	135	728
47	136	714
48	151	774
49	175	876
50	176	859
51	177	844
52	177	829
53	178	814
54	179	801
55	180	787
56	195	835
57	196	821
58	198	809
59	199	797
60	200	784
61	202	776
62	203	764
63	204	753
64	205	742
65	206	732
66	207	721
67	208	710
68	209	700
69	210	690
70	211	680
71	232	735
72	233	726
73	234	715
74	235	706
75	236	697
76	237	687
77	238	678
78	239	669
79	240	660
80	241	652
81	242	643
82	243	636
83	244	627
84	245	619
85	268	667
86	269	659
87	302	729
88	304	721
89	305	712
90	315	723
91	316	715
92	330	735
93	331	725
94	332	717
95	333	707
96	358	751
97	360	743
98	362	734
99	362	725
100	363	716
101	364	707
102	365	698
103	366	689
104	366	680
105	367	672
106	368	664
107	369	657
108	399	700
109	401	692
110	402	684
111	403	676
112	404	669
113	405	661
114	406	653
115	407	646
116	408	639
117	418	646
118	420	639
119	421	632
120	429	634
121	430	627
122	431	620
123	433	615
124	436	611
125	442	610
126	444	604
127	445	599
128	447	592
129	448	585
130	458	591
131	474	604
132	475	597
133	484	600
134	485	593
135	486	587
136	487	580
137	488	573
138	489	566
139	490	560
140	491	554
141	492	548
142	494	542
143	495	536
144	496	530
145	497	524
146	498	518
147	499	512
148	500	507
149	501	501
150	502	495
151	503	490
152	504	484
153	505	479
154	506	473
155	507	468
156	508	462
157	509	457
158	510	452
159	511	447
160	512	442
161	513	437
162	514	432
163	515	427
164	515	422
165	516	417
166	517	412
167	518	407
168	519	402
169	520	398
170	521	393
171	522	388
172	523	384
173	524	379
174	525	375
175	526	370
176	527	366
177	528	361
178	528	357
179	529	353
180	530	348
181	531	344
182	532	340
183	533	336
184	534	332
185	534	327
186	535	323
187	536	319
188	537	315
189	537	311
190	538	307
191	539	303
192	540	299
193	540	295
194	541	291
195	542	287
196	543	284
197	544	280
198	544	276
199	545	272
200	546	269
201	547	265
202	547	261
203	548	258
204	549	254
205	549	250
206	550	247
207	551	243
208	552	240
209	552	236
210	553	233
211	554	230
212	555	226
213	556	223
214	556	220
215	557	216
216	558	213
217	559	210
218	560	207
219	560	203
220	561	200
221	562	197
222	563	194
223	564	191
224	565	188
225	565	185
226	566	182
227	567	179
228	568	176
229	569	173
230	570	170
231	571	167
232	572	164
233	573	161
234	573	158
235	574	155
236	575	152
237	575	150
238	576	147
239	577	144
240	578	141
241	579	138
242	580	136
243	580	133
244	581	130
245	582	127
246	583	125
247	584	122
248	585	119
249	586	117
250	587	114
251	588	112
252	589	109
253	589	106
254	590	104
255	591	101
256	592	99
257	593	96
258	593	94
259	594	91
260	595	88
261	596	86
262	596	83
263	597	81
264	598	79
265	599	76
266	599	74
267	600	71
268	601	69
269	602	66
270	602	64
271	603	62
272	604	59
273	604	57
274	605	55
275	606	52
276	607	50
277	608	48
278	608	45
279	609	43
280	610	41
281	611	39
282	612	36
283	613	34
284	615	32
285	615	30
286	616	27
287	617	25
288	618	23
289	619	21
290	619	19
291	620	17
292	621	14
293	622	12
294	623	10
295	623	8
296	624	6
297	625	4
298	625	2
299	626	0
18	91
279	1219	87
280	1220	82
281	1240	79
282	1241	74
283	1243	70
284	1244	65
285	1245	60
286	1245	56
287	1257	52
288	1272	48
289	1272	43
290	1273	39
291	1274	34
292	1275	30
293	1276	26
294	1277	21
295	1277	17
296	1291	13
297	1292	8
298	1293	4
299	1293	0
9	839
290	1160	833
291	1161	827
292	1162	821
293	1162	814
294	1163	808
295	1164	802
296	1165	796
297	1166	790
298	1166	784
299	1167	778
300	1168	772
301	1169	766
302	1170	760
303	1171	755
304	1172	74306	1217	765
307	1217	759
308	1218	753
309	1219	747
310	1237	752
311	1238	746
312	1239	740
313	1240	734
314	1241	729
315	1242	723
316	1243	717
317	1244	712
318	1245	706
319	1246	701
320	1247	695
321	1248	690
322	1249	684
323	1250	679
